1	chr1
AADN04001023.1	chrUn_NT_464251v1
AADN04001024.1	chrUn_NT_464252v1
KQ759336.1	chr1_NT_456107v1_random
AADN04001027.1	chrUn_NT_464253v1
AADN04001028.1	chrUn_NT_464254v1
AADN04001029.1	chr1_NT_456108v1_random
AADN04001030.1	chrUn_NT_464255v1
AADN04001032.1	chrUn_NT_464257v1
AADN04001031.1	chrUn_NT_464256v1
KQ759492.1	chrW_NT_463484v1_random
AADN04001036.1	chrW_NT_463485v1_random
AADN04001035.1	chrUn_NT_464258v1
AADN04001038.1	chrUn_NT_464260v1
AADN04001037.1	chrUn_NT_464259v1
KQ759558.1	chrUn_NT_464263v1
AADN04001039.1	chrUn_NT_464261v1
AADN04001040.1	chrUn_NT_464262v1
AADN04001043.1	chrUn_NT_464264v1
AADN04001044.1	chrUn_NT_464265v1
AADN04001045.1	chrUn_NT_464266v1
AADN04001046.1	chrUn_NT_464267v1
AADN04001047.1	chrUn_NT_464268v1
AADN04001048.1	chrUn_NT_464269v1
AADN04001051.1	chr15_NT_462466v1_random
AADN04001050.1	chrZ_NT_463609v1_random
AADN04001052.1	chrUn_NT_464270v1
AADN04001053.1	chr2_NT_457882v1_random
AADN04001054.1	chr2_NT_457883v1_random
AADN04001055.1	chr2_NT_457884v1_random
AADN04001056.1	chr1_NT_456109v1_random
AADN04001057.1	chrZ_NT_463610v1_random
AADN04001058.1	chrUn_NT_464271v1
AADN04001059.1	chrUn_NT_464272v1
AADN04001060.1	chr6_NT_460837v1_random
AADN04001061.1	chrUn_NT_464273v1
KQ759474.1	chr25_NT_463193v1_random
AADN04001062.1	chrZ_NT_463611v1_random
AADN04001063.1	chr8_NT_461327v1_random
KQ759440.1	chr9_NT_461577v1_random
AADN04001067.1	chrZ_NT_463613v1_random
AADN04001068.1	chrUn_NT_464274v1
AADN04001070.1	chrUn_NT_464275v1
AADN04001071.1	chrUn_NT_464276v1
AADN04001072.1	chrUn_NT_464277v1
AADN04001073.1	chrUn_NT_464278v1
AADN04001074.1	chrUn_NT_464279v1
AADN04001076.1	chrUn_NT_464281v1
AADN04001075.1	chrUn_NT_464280v1
AADN04001049.1	chr2_NT_457881v1_random
AADN04001081.1	chr9_NT_461578v1_random
AADN04001080.1	chr16_NT_462550v1_random
AADN04001082.1	chrW_NT_463486v1_random
AADN04001084.1	chrUn_NT_464282v1
AADN04001085.1	chr1_NT_456110v1_random
AADN04001086.1	chrUn_NT_464283v1
AADN04001087.1	chrUn_NT_464284v1
AADN04001088.1	chrUn_NT_464285v1
AADN04001089.1	chr1_NT_456111v1_random
AADN04001090.1	chr27_NT_463315v1_random
AADN04001091.1	chrUn_NT_464286v1
AADN04001092.1	chrUn_NT_464287v1
AADN04001093.1	chrUn_NT_464288v1
AADN04001094.1	chrUn_NT_464289v1
AADN04001095.1	chrUn_NT_464290v1
AADN04001097.1	chr33_NT_463461v1_random
AADN04001096.1	chrUn_NT_464291v1
AADN04001098.1	chrUn_NT_464292v1
AADN04001100.1	chrUn_NT_464293v1
AADN04001102.1	chrUn_NT_464294v1
AADN04001104.1	chrUn_NT_464295v1
AADN04001105.1	chrUn_NT_464296v1
AADN04001107.1	chrUn_NT_464297v1
AADN04001113.1	chr1_NT_456113v1_random
AADN04001110.1	chr1_NT_456112v1_random
AADN04001112.1	chrUn_NT_464298v1
AADN04001114.1	chrUn_NT_464299v1
AADN04001115.1	chrZ_NT_463617v1_random
AADN04001118.1	chrUn_NT_464300v1
AADN04001119.1	chrW_NT_463487v1_random
AADN04001117.1	chr1_NT_456114v1_random
AADN04001120.1	chrUn_NT_464301v1
AADN04001121.1	chr17_NT_462570v1_random
AADN04000621.1	chrZ_NT_463582v1_random
AADN04001122.1	chrUn_NT_464302v1
KQ759559.1	chrUn_NT_464303v1
KQ759406.1	chr4_NT_459805v1_random
AADN04001106.1	chrZ_NT_463615v1_random
AADN04001126.1	chr27_NT_463316v1_random
AADN04001130.1	chrUn_NT_464304v1
AADN04001131.1	chrUn_NT_464305v1
AADN04001133.1	chrUn_NT_464306v1
AADN04001134.1	chrUn_NT_464307v1
AADN04001135.1	chrUn_NT_464308v1
KQ759517.1	chrZ_NT_463616v1_random
AADN04001136.1	chrUn_NT_464309v1
AADN04001137.1	chrUn_NT_464310v1
AADN04001138.1	chrUn_NT_464311v1
AADN04001139.1	chrUn_NT_464312v1
AADN04001140.1	chrUn_NT_464313v1
AADN04001143.1	chr3_NT_459023v1_random
AADN04001141.1	chrUn_NT_464314v1
AADN04001142.1	chrUn_NT_464315v1
AADN04001144.1	chrUn_NT_464316v1
KQ759518.1	chrZ_NT_463622v1_random
AADN04001146.1	chr23_NT_463082v1_random
AADN04001151.1	chrUn_NT_464317v1
AADN04001129.1	chrZ_NT_463619v1_random
AADN04001152.1	chrUn_NT_464318v1
KQ759512.1	chrZ_NT_463593v1_random
AADN04001153.1	chrUn_NT_464319v1
AADN04001132.1	chrZ_NT_463620v1_random
AADN04001155.1	chrUn_NT_464320v1
AADN04001156.1	chrUn_NT_464321v1
AADN04001157.1	chrUn_NT_464322v1
AADN04001159.1	chrUn_NT_464324v1
AADN04001158.1	chrUn_NT_464323v1
AADN04001162.1	chrUn_NT_464327v1
AADN04001160.1	chrUn_NT_464325v1
AADN04001161.1	chrUn_NT_464326v1
AADN04001163.1	chrUn_NT_464328v1
AADN04001164.1	chr14_NT_462352v1_random
AADN04001165.1	chr17_NT_462571v1_random
AADN04001166.1	chr5_NT_460420v1_random
AADN04001167.1	chrUn_NT_464329v1
AADN04001168.1	chrUn_NT_464330v1
AADN04001169.1	chrUn_NT_464331v1
AADN04001170.1	chrUn_NT_464332v1
AADN04001171.1	chrUn_NT_464333v1
AADN04001172.1	chrUn_NT_464334v1
AADN04001173.1	chr13_NT_462190v1_random
AADN04001174.1	chrUn_NT_464335v1
AADN04001175.1	chrUn_NT_464336v1
AADN04001176.1	chrUn_NT_464337v1
AADN04001177.1	chrUn_NT_464338v1
AADN04001178.1	chr27_NT_463317v1_random
AADN04001179.1	chrUn_NT_464339v1
AADN04001180.1	chrUn_NT_464340v1
AADN04001181.1	chr8_NT_461328v1_random
AADN04001182.1	chr2_NT_457885v1_random
AADN04001183.1	chrUn_NT_464341v1
AADN04001184.1	chrUn_NT_464342v1
AADN04001185.1	chrUn_NT_464343v1
AADN04001186.1	chrUn_NT_464344v1
AADN04001187.1	chr23_NT_463083v1_random
AADN04001188.1	chr32_NT_463444v1_random
AADN04001189.1	chr1_NT_456115v1_random
AADN04001190.1	chr5_NT_460421v1_random
AADN04001192.1	chrUn_NT_464346v1
AADN04001191.1	chrUn_NT_464345v1
AADN04001154.1	chr15_NT_462467v1_random
KQ759493.1	chrW_NT_463488v1_random
AADN04001195.1	chrUn_NT_464347v1
AADN04001196.1	chrUn_NT_464348v1
KQ759560.1	chrUn_NT_464349v1
AADN04001200.1	chrZ_NT_463623v1_random
AADN04001201.1	chrUn_NT_464350v1
AADN04001202.1	chrUn_NT_464351v1
KQ759561.1	chrUn_NT_464352v1
AADN04001205.1	chr23_NT_463084v1_random
AADN04001206.1	chrUn_NT_464353v1
AADN04001207.1	chrUn_NT_464354v1
AADN04001210.1	chrUn_NT_464355v1
AADN04001211.1	chrUn_NT_464356v1
AADN04001216.1	chr2_NT_457887v1_random
AADN04001212.1	chr30_NT_463423v1_random
AADN04001214.1	chr2_NT_457886v1_random
AADN04001213.1	chr6_NT_460838v1_random
AADN04001217.1	chrZ_NT_463626v1_random
AADN04001219.1	chr1_NT_456116v1_random
AADN04001220.1	chrUn_NT_464357v1
AADN04001221.1	chrW_NT_463489v1_random
KQ759462.1	chr16_NT_462551v1_random
AADN04001222.1	chrUn_NT_464358v1
AADN04001223.1	chrUn_NT_464359v1
AADN04001226.1	chr23_NT_463085v1_random
AADN04001228.1	chr3_NT_459024v1_random
KQ759562.1	chrUn_NT_464360v1
AADN04001239.1	chr4_NT_459806v1_random
AADN04001232.1	chrUn_NT_464361v1
KQ759563.1	chrUn_NT_464364v1
AADN04001235.1	chrUn_NT_464363v1
AADN04001233.1	chrUn_NT_464362v1
AADN04001240.1	chrUn_NT_464365v1
AADN04001241.1	chrUn_NT_464366v1
KQ759519.1	chrZ_NT_463624v1_random
AADN04001242.1	chrUn_NT_464367v1
KQ759564.1	chrUn_NT_464368v1
AADN04001245.1	chrUn_NT_464369v1
AADN04001246.1	chrUn_NT_464370v1
AADN04001247.1	chrUn_NT_464371v1
AADN04001248.1	chrUn_NT_464372v1
AADN04001249.1	chrUn_NT_464373v1
AADN04001250.1	chrUn_NT_464374v1
AADN04001251.1	chr1_NT_456117v1_random
AADN04001255.1	chr2_NT_457888v1_random
AADN04001253.1	chr20_NT_462797v1_random
AADN04001252.1	chrUn_NT_464375v1
AADN04001256.1	chrUn_NT_464376v1
AADN04001257.1	chrUn_NT_464377v1
AADN04001259.1	chr20_NT_462798v1_random
AADN04001258.1	chrUn_NT_464378v1
AADN04001264.1	chrUn_NT_464379v1
AADN04001269.1	chr1_NT_456120v1_random
AADN04001262.1	chr7_NT_461079v1_random
AADN04001260.1	chr1_NT_456118v1_random
AADN04001263.1	chr1_NT_456119v1_random
KQ759565.1	chrUn_NT_464380v1
AADN04001267.1	chrUn_NT_464381v1
AADN04001268.1	chrUn_NT_464382v1
AADN04001270.1	chrUn_NT_464383v1
AADN04001272.1	chrUn_NT_464385v1
AADN04001271.1	chrUn_NT_464384v1
AADN04001273.1	chrUn_NT_464386v1
AADN04001274.1	chrUn_NT_464387v1
AADN04001275.1	chr1_NT_456121v1_random
AADN04001276.1	chrUn_NT_464388v1
AADN04001277.1	chrUn_NT_464389v1
AADN04001278.1	chrUn_NT_464390v1
AADN04001279.1	chrUn_NT_464391v1
KQ759566.1	chrUn_NT_464393v1
AADN04001281.1	chrUn_NT_464392v1
AADN04001284.1	chrUn_NT_464394v1
AADN04001285.1	chrUn_NT_464395v1
AADN04001286.1	chrUn_NT_464396v1
AADN04001287.1	chrUn_NT_464397v1
AADN04001288.1	chrUn_NT_464398v1
AADN04001289.1	chr1_NT_456122v1_random
AADN04000643.1	chrZ_NT_463585v1_random
AADN04001290.1	chr12_NT_462048v1_random
AADN04001291.1	chrUn_NT_464399v1
AADN04001293.1	chr6_NT_460839v1_random
AADN04001292.1	chrUn_NT_464400v1
AADN04001294.1	chrUn_NT_464401v1
AADN04001295.1	chrUn_NT_464402v1
AADN04001296.1	chrUn_NT_464403v1
AADN04001297.1	chr4_NT_459807v1_random
AADN04001298.1	chrUn_NT_464404v1
AADN04001299.1	chr4_NT_459808v1_random
AADN04001301.1	chrUn_NT_464405v1
AADN04001302.1	chrUn_NT_464406v1
AADN04001309.1	chr2_NT_457889v1_random
KQ759520.1	chrZ_NT_463634v1_random
AADN04001303.1	chrUn_NT_464407v1
AADN04001304.1	chrUn_NT_464408v1
AADN04001305.1	chr1_NT_456123v1_random
AADN04001306.1	chrZ_NT_463633v1_random
AADN04001310.1	chrUn_NT_464409v1
AADN04001311.1	chrUn_NT_464410v1
AADN04001312.1	chrUn_NT_464411v1
AADN04001325.1	chr2_NT_457891v1_random
AADN04001313.1	chrUn_NT_464412v1
AADN04001314.1	chr2_NT_457890v1_random
AADN04001315.1	chrUn_NT_464413v1
AADN04001316.1	chrUn_NT_464414v1
AADN04001317.1	chr1_NT_456124v1_random
AADN04001318.1	chr19_NT_462718v1_random
AADN04001319.1	chrUn_NT_464415v1
AADN04001321.1	chrUn_NT_464416v1
AADN04001322.1	chr1_NT_456125v1_random
AADN04001323.1	chrUn_NT_464417v1
AADN04001324.1	chrUn_NT_464418v1
AADN04001326.1	chrUn_NT_464419v1
AADN04001327.1	chrUn_NT_464420v1
AADN04001328.1	chrUn_NT_464421v1
AADN04001330.1	chrUn_NT_464423v1
AADN04001329.1	chrUn_NT_464422v1
AADN04001332.1	chr14_NT_462353v1_random
AADN04001331.1	chrUn_NT_464424v1
KQ759567.1	chrUn_NT_464425v1
AADN04001335.1	chrUn_NT_464426v1
AADN04001336.1	chrUn_NT_464427v1
AADN04001338.1	chrUn_NT_464428v1
AADN04001339.1	chrUn_NT_464429v1
AADN04001340.1	chrUn_NT_464430v1
AADN04001341.1	chrUn_NT_464431v1
AADN04001342.1	chrUn_NT_464432v1
AADN04001345.1	chrUn_NT_464434v1
AADN04001343.1	chrZ_NT_463636v1_random
AADN04001344.1	chrUn_NT_464433v1
AADN04001346.1	chrUn_NT_464435v1
AADN04001347.1	chrUn_NT_464436v1
AADN04001348.1	chrUn_NT_464437v1
AADN04001349.1	chrUn_NT_464438v1
AADN04001350.1	chr4_NT_459809v1_random
AADN04001351.1	chrUn_NT_464439v1
KQ759337.1	chr1_NT_456126v1_random
AADN04001360.1	chrZ_NT_463637v1_random
AADN04001353.1	chrUn_NT_464441v1
AADN04001352.1	chrUn_NT_464440v1
AADN04001354.1	chr13_NT_462191v1_random
AADN04001357.1	chrUn_NT_464442v1
AADN04001358.1	chrUn_NT_464443v1
AADN04001359.1	chrUn_NT_464444v1
AADN04001362.1	chrUn_NT_464445v1
AADN04001361.1	chr1_NT_456127v1_random
AADN04001363.1	chr20_NT_462799v1_random
KQ759568.1	chrUn_NT_464446v1
AADN04001366.1	chrZ_NT_463638v1_random
KQ759460.1	chr15_NT_462468v1_random
AADN04001367.1	chrUn_NT_464447v1
AADN04001368.1	chr22_NT_463003v1_random
AADN04001370.1	chrUn_NT_464449v1
AADN04001369.1	chrUn_NT_464448v1
AADN04001371.1	chr20_NT_462800v1_random
AADN04001372.1	chr1_NT_456128v1_random
AADN04001373.1	chrUn_NT_464450v1
AADN04001377.1	chrUn_NT_464453v1
AADN04001375.1	chrUn_NT_464451v1
AADN04001376.1	chrUn_NT_464452v1
KQ759569.1	chrUn_NT_464454v1
AADN04001380.1	chrUn_NT_464455v1
AADN04001381.1	chrUn_NT_464456v1
AADN04001382.1	chrUn_NT_464457v1
AADN04001383.1	chrUn_NT_464458v1
AADN04001384.1	chrUn_NT_464459v1
AADN04001385.1	chrUn_NT_464460v1
AADN04001387.1	chrUn_NT_464461v1
AADN04001392.1	chrUn_NT_464462v1
AADN04001394.1	chrUn_NT_464463v1
AADN04001395.1	chrUn_NT_464464v1
AADN04001396.1	chrUn_NT_464465v1
AADN04001397.1	chrUn_NT_464466v1
AADN04001399.1	chr1_NT_456129v1_random
AADN04001400.1	chrUn_NT_464467v1
AADN04001401.1	chrUn_NT_464468v1
AADN04001402.1	chrUn_NT_464469v1
KQ759468.1	chr20_NT_462801v1_random
AADN04001414.1	chr27_NT_463318v1_random
AADN04001403.1	chrZ_NT_463642v1_random
AADN04001404.1	chr9_NT_461579v1_random
AADN04001405.1	chrUn_NT_464470v1
AADN04001406.1	chrUn_NT_464471v1
AADN04001408.1	chrUn_NT_464473v1
AADN04001407.1	chrUn_NT_464472v1
AADN04001409.1	chrUn_NT_464474v1
AADN04001410.1	chrUn_NT_464475v1
AADN04001411.1	chrZ_NT_463643v1_random
AADN04001412.1	chrUn_NT_464476v1
AADN04001413.1	chrUn_NT_464477v1
AADN04001416.1	chrUn_NT_464478v1
AADN04001417.1	chrUn_NT_464479v1
AADN04001425.1	chr1_NT_456130v1_random
AADN04001419.1	chrUn_NT_464481v1
AADN04001418.1	chrUn_NT_464480v1
AADN04001422.1	chrUn_NT_464482v1
AADN04001424.1	chrUn_NT_464484v1
AADN04001423.1	chrUn_NT_464483v1
AADN04001428.1	chr2_NT_457892v1_random
AADN04001429.1	chrUn_NT_464485v1
AADN04001430.1	chrUn_NT_464486v1
AADN04001432.1	chrUn_NT_464487v1
AADN04001431.1	chr1_NT_456131v1_random
AADN04001447.1	chr2_NT_457894v1_random
AADN04001433.1	chrUn_NT_464488v1
KQ759368.1	chr2_NT_457893v1_random
KQ759570.1	chrUn_NT_464492v1
AADN04001434.1	chrUn_NT_464489v1
AADN04001435.1	chrUn_NT_464490v1
AADN04001438.1	chrUn_NT_464491v1
AADN04001442.1	chrUn_NT_464493v1
AADN04001443.1	chrUn_NT_464494v1
AADN04001444.1	chrUn_NT_464495v1
AADN04001446.1	chrUn_NT_464497v1
AADN04001445.1	chrUn_NT_464496v1
AADN04001448.1	chrZ_NT_463644v1_random
AADN04001449.1	chrUn_NT_464498v1
AADN04001451.1	chr1_NT_456132v1_random
AADN04001450.1	chrZ_NT_463645v1_random
AADN04001452.1	chrUn_NT_464499v1
AADN04001453.1	chrUn_NT_464500v1
AADN04001454.1	chrUn_NT_464501v1
AADN04001455.1	chrUn_NT_464502v1
AADN04001460.1	chrUn_NT_464503v1
AADN04001456.1	chr3_NT_459025v1_random
AADN04001457.1	chr2_NT_457895v1_random
AADN04001458.1	chr2_NT_457896v1_random
AADN04001461.1	chrUn_NT_464504v1
AADN04001463.1	chrUn_NT_464505v1
AADN04001464.1	chr3_NT_459026v1_random
AADN04001465.1	chr20_NT_462802v1_random
AADN04001466.1	chrUn_NT_464506v1
AADN04001467.1	chrUn_NT_464507v1
AADN04001468.1	chrUn_NT_464508v1
